P%,GF/GP,GA/GP,Net PP%,Net PK%,Shots/GP,SA/GP,WinStanleyCup
0.543,2.49,2.66,12.3,84.5,28.2,30.8,0
0.543,2.96,3.28,12,81.8,29.2,30,0
0.645,3.29,2.77,18.1,85.7,31.4,28.7,0
0.556,4.43,3.94,21.4,80,34.6,31.4,0
0.543,2.61,2.4,18.3,90.7,27.5,30.7,0
0.543,2.73,2.76,19.7,80.3,31.6,29.7,0
0.543,2.84,2.96,18,81.8,30.1,33.4,0
0.543,2.57,2.72,14.3,83.7,29.2,31.4,0
0.556,3.41,3.11,15.7,83,29.8,29,0
0.543,2.85,2.49,13.9,85.7,30.1,24.9,0
0.556,3.98,3.56,18.8,86.7,30.1,26.5,0
0.543,2.56,2.73,18.1,80.2,30.5,31,0
0.543,2.57,2.28,9.9,87.9,26.5,31.2,0
0.543,2.7,2.54,10.7,84.8,28.4,26.5,0
